S.No,In-use English,Changes in English,In-use Telugu,Changes in Telugu,Section,Times used,Translation keys
1150,Could not load profile.\n{error},,ప్రొఫైల్ లోడ్ కాలేదు.\n{error},,B,1,could_not_load_profile
1151,Could not load this profile.\n{error},,ఈ ప్రొఫైల్ లోడ్ కాలేదు.\n{error},,B,1,could_not_load_profile_note
1152,Could not load today's route.\n{message},,నేటి మార్గం లోడ్ కాలేదు.\n{message},,B,1,could_not_load_todays_route
1153,Could not load withdrawal requests.\n{error},,ఉపసంహరణ అభ్యర్థనలు లోడ్ కాలేదు.\n{error},,B,1,could_not_load_withdrawal_requests_note
1154,Could not load your current usage.\n\n{error},,మీ ప్రస్తుత వినియోగం లోడ్ కాలేదు.\n\n{error},,B,1,could_not_load_usage_note
1155,Could Not Read This Statement.,,ఈ స్టేట్‌మెంట్ చదవలేకపోయింది.,,B,1,could_not_read_statement
1156,Create & Link to Business,,సృష్టించి వ్యాపారానికి లింక్ చేయండి,,B,1,create_and_link_to_business
1157,Current BF Cash Balance,,ప్రస్తుత BF నగదు నిల్వ,,B,1,current_bf_cash_balance
1158,Current BF Cash Balance: {amount},,ప్రస్తుత BF నగదు నిల్వ: {amount},,B,1,current_bf_cash_balance_note
1159,Customer Out Of Village,,కస్టమర్ ఊరిలో లేరు,,B,1,customer_out_of_village
1160,"Cycle: {duration} {unit}, submits {time}",,"చక్రం: {duration} {unit}, సమర్పణ {time}",,B,1,cycle_configured_note
1161,Date of Birth — not set,,పుట్టిన తేదీ — సెట్ చేయలేదు,,B,1,dob_not_set
1162,Date of Birth — {date},,పుట్టిన తేదీ — {date},,B,1,dob_value_note
1163,Day Closure Cannot Start,,దిన ముగింపు ప్రారంభం కాదు,,B,1,day_closure_cannot_start
1164,Delete (balance > ₹0),,తొలగించండి (నిల్వ > ₹0),,B,1,delete_balance_positive
1165,Did you mean one of these?,,మీరు వీటిలో ఒకదాన్ని ఉద్దేశించారా?,,B,1,did_you_mean_note
1166,Difference is no longer zero — recheck required.,,తేడా ఇక సున్నా కాదు — మళ్లీ తనిఖీ అవసరం.,,B,1,difference_no_longer_zero_note
1167,Door / House No,,ఇంటి నంబర్,,B,1,door_house_no
1168,Door / House No *,,ఇంటి నంబర్ *,,B,1,door_house_no_field
1169,Door No / Street,,ఇంటి నంబరు / వీధి,,B,1,door_no_street_field
1170,Edit Address — Select Village,,చిరునామా మార్చండి — గ్రామం ఎంచుకోండి,,B,1,edit_address_select_village
1171,Enter a Valid Amount,,సరైన మొత్తం నమోదు చేయండి,,B,1,enter_a_valid_amount
1172,Enter a whole rupee amount above zero,,సున్నా కంటే ఎక్కువ మొత్తం రూపాయలలో నమోదు చేయండి,,B,1,enter_whole_rupee_amount
1173,Enter One by One,,ఒక్కొక్కరిగా నమోదు చేయండి,,B,1,enter_one_by_one
1174,Expected {expected} · Actual {actual},,ఆశించినది {expected} · వాస్తవం {actual},,B,1,expected_actual_note
1175,Father / Husband Name,,తండ్రి / భర్త పేరు,,B,1,father_husband_name
1176,Father / Husband Name *,,తండ్రి / భర్త పేరు *,,B,1,father_husband_name_field
1177,Fixed Salary Amount *,,స్థిర జీతం మొత్తం *,,B,1,fixed_salary_amount_field
1178,From: {from}  To: {to},,నుండి: {from}  వరకు: {to},,B,1,from_to_date_range_note
1179,Get MANA LINE On Your Phone,,,,B,1,web_home_agent_app_title
1180,Go to Operating Areas,,పని ప్రాంతాలకు వెళ్లండి,,B,1,go_to_operating_areas
1181,Grace Period (Days) *,,గ్రేస్ పీరియడ్ (రోజులు) *,,B,1,grace_period_days_field
1182,Grace Period End Date,,గ్రేస్ పీరియడ్ ముగింపు తేదీ,,B,1,grace_period_end_date
1183,"Guarantor is loan-scoped, not customer-scoped.",,"పూచీకత్తుదారు రుణానికి సంబంధించినది, కస్టమర్‌కు కాదు.",,B,1,guarantor_loan_scoped_note
1184,Hand This Business to Someone,,ఈ వ్యాపారాన్ని ఎవరికైనా అప్పగించండి,,B,1,hand_business_to_someone
1185,How It Was Paid,,ఎలా చెల్లించారు,,B,1,how_it_was_paid
1186,I'm new — Register,,నేను కొత్త — నమోదు చేయండి,,B,1,im_new_register
1187,I'm registered — Login,,నేను నమోదు చేసుకున్నాను — లాగిన్,,B,1,im_registered_login
1188,Instalment Amount (EMI) *,,వాయిదా మొత్తం (EMI) *,,B,1,instalment_amount_emi_field
1189,Interest Paid to Date,,ఇప్పటివరకు చెల్లించిన వడ్డీ,,B,1,interest_paid_to_date
1190,Invitation sent — status Pending Invitation.,,ఆహ్వానం పంపబడింది — స్థితి పెండింగ్ ఆహ్వానం.,,B,1,invitation_sent_note
1191,Invited you to join as {role},,{role}గా చేరమని మిమ్మల్ని ఆహ్వానించారు,,B,1,invited_you_as_note
1192,Issued {date} · Outstanding {amount},,జారీ చేసినది {date} · బాకీ {amount},,B,1,issued_outstanding_note
1193,Launches OW-014 Global Workflow.,,OW-014 గ్లోబల్ వర్క్‌ఫ్లో ప్రారంభిస్తుంది.,,B,1,launches_global_workflow_note
1194,Line balance — still with customers,,లైన్ నిల్వ — ఇంకా కస్టమర్ల వద్ద,,B,1,line_balance_label
1195,Loan saved for {name}.,,{name} కోసం రుణం సేవ్ చేయబడింది.,,B,1,loan_saved_for_note
1196,Loan {number} created — active.,,రుణం {number} సృష్టించబడింది — యాక్టివ్.,,B,1,loan_created_note
1197,Loans Are Still Being Collected Here,,ఇక్కడ ఇంకా వసూళ్లు జరుగుతున్నాయి,,B,1,area_still_has_loans_question
1198,Long press to correct this entry,,ఈ నమోదును సవరించడానికి నొక్కి పట్టుకోండి,,B,1,long_press_to_correct
1199,looks like an existing customer,,ఇప్పటికే ఉన్న కస్టమర్‌లా కనిపిస్తుంది,,B,1,looks_like_existing_customer
1200,MANA Cheeti — coming soon — version 2,,మానా చీటీ — త్వరలో — వెర్షన్ 2,,B,1,mana_chits_coming_soon
1201,Matches {count} × {amount}.,,{count} × {amount}తో సరిపోలుతుంది.,,B,1,opening_matches_note
1202,Maximum resend attempts reached,,గరిష్ట పునఃపంపే ప్రయత్నాలు చేరుకున్నాయి,,B,1,max_resend_attempts
1203,Member sets this at First Login,,సభ్యుడు మొదటి లాగిన్‌లో దీన్ని సెట్ చేస్తారు,,B,1,member_sets_at_first_login
1204,MLID Correction Record (Read-Only),,MLID దిద్దుబాటు రికార్డు (చదవడానికి మాత్రమే),,B,1,mlid_correction_record
1205,Mobile on file — tap to edit,,మొబైల్ ఫైల్‌లో ఉంది — మార్చడానికి నొక్కండి,,B,1,mobile_on_file_tap_edit
1206,Mobile · DOB · Aadhaar,,మొబైల్ · పుట్టిన తేదీ · ఆధార్,,B,1,mobile_dob_aadhaar
1207,Must be 10 digits,,10 అంకెలు ఉండాలి,,B,1,must_be_10_digits
1208,Must be 12 digits,,12 అంకెలు ఉండాలి,,B,1,must_be_12_digits
1209,My Profile / Memberships,,నా ప్రొఫైల్ / సభ్యత్వాలు,,B,2,my_profile_memberships my_profile_memberships_title
1210,Name in Telugu (optional),,తెలుగులో పేరు (ఐచ్ఛికం),,B,1,name_in_telugu_optional_field
1211,Net Change (This View),,నికర మార్పు (ఈ వీక్షణ),,B,1,net_change_this_view
1212,Next due {amount} on {date},,"తదుపరి బకాయి {amount}, {date}న",,B,1,next_due_note
1213,No access days granted this session.,,ఈ సెషన్‌లో యాక్సెస్ రోజులు మంజూరు కాలేదు.,,B,1,no_access_days_granted
1214,No account periods yet,,ఇంకా ఖాతా వ్యవధులు లేవు,,B,1,no_account_periods_yet_headline
1215,No accounts pending review.,,సమీక్షకు పెండింగ్ ఖాతాలు లేవు.,,B,1,no_accounts_pending_review
1216,No active agents found.,,యాక్టివ్ ఏజెంట్లు కనుగొనబడలేదు.,,B,1,no_active_agents_found
1217,No active members yet.,,ఇంకా యాక్టివ్ సభ్యులు లేరు.,,B,1,no_active_members_yet
1218,No activity yet today.,,ఈరోజు ఇంకా కార్యకలాపం లేదు.,,B,1,no_activity_today
1219,No address on file.,,ఫైల్‌లో చిరునామా లేదు.,,B,1,no_address_on_file
1220,No administrative/security events this day.,,ఈ రోజు పరిపాలనా/భద్రతా సంఘటనలు లేవు.,,B,1,no_admin_security_events_this_day
1221,No agent assigned — not being worked,,ఏ ఏజెంట్ కేటాయించలేదు — పని జరగడం లేదు,,B,1,no_agent_assigned_not_worked
1222,No agent is assigned to an area yet,,ఇంకా ఏ ప్రాంతానికి ఏజెంట్ కేటాయించలేదు,,B,1,no_agent_assigned_area_headline
1223,No agents match this view.,,ఈ వీక్షణకు సరిపోలే ఏజెంట్లు లేరు.,,B,1,no_agents_match_view
1224,No agreements created yet.,,ఇంకా ఒప్పందాలు సృష్టించలేదు.,,B,1,no_agreements_yet
1225,No areas assigned yet.,,ఇంకా ప్రాంతాలు కేటాయించలేదు.,,B,1,no_areas_assigned_yet
1226,No assigned customers match this view.,,ఈ వీక్షణకు సరిపోలే కేటాయించిన కస్టమర్లు లేరు.,,B,1,no_assigned_customers_match
1227,No BF Granted Yet,,ఇంకా BF మంజూరు కాలేదు,,B,1,no_bf_granted_yet
1228,No business days recorded yet.,,ఇంకా వ్యాపార దినాలు నమోదు కాలేదు.,,B,1,no_business_days_yet
1229,No Business Memberships found.,,వ్యాపార సభ్యత్వాలు కనుగొనబడలేదు.,,B,1,no_business_memberships_found
1230,No Business Memberships Yet,,ఇంకా వ్యాపార సభ్యత్వాలు లేవు,,B,1,no_business_memberships_yet
1231,No businesses matched your search.,,మీ శోధనకు వ్యాపారాలు సరిపోలలేదు.,,B,1,no_businesses_matched
1232,No closed business-day-accounts this month yet.,,ఈ నెల ఇంకా మూసివేసిన వ్యాపార-దిన-ఖాతాలు లేవు.,,B,1,no_closed_accounts_this_month
1233,No Collection (Visit Without Payment),,వసూలు లేదు (చెల్లింపు లేకుండా సందర్శన),,B,1,no_collection_visit_without_payment
1234,No collections this day.,,ఈ రోజు వసూళ్లు లేవు.,,B,1,no_collections_this_day
1235,No confirmed payments yet.,,ఇంకా నిర్ధారించిన చెల్లింపులు లేవు.,,B,1,no_confirmed_payments_yet
1236,No corrections/adjustments this day.,,ఈ రోజు సరిదిద్దుబాట్లు/సర్దుబాట్లు లేవు.,,B,1,no_corrections_adjustments_this_day
1237,No customers due right now.,,ప్రస్తుతం ఎవరూ బకాయి లేరు.,,B,1,no_customers_due_right_now
1238,No customers match this view.,,ఈ వీక్షణకు సరిపోలే కస్టమర్లు లేరు.,,B,1,no_customers_match_view
1239,No expenses this day.,,ఈ రోజు ఖర్చులు లేవు.,,B,1,no_expenses_this_day
1240,No impact rows returned.,,ప్రభావ వరుసలు తిరిగి రాలేదు.,,B,1,no_impact_rows
1241,No interest ledger entries yet.,,ఇంకా వడ్డీ లెడ్జర్ ఎంట్రీలు లేవు.,,B,1,no_interest_ledger_entries_yet
1242,No Investments Recorded Yet,,ఇంకా పెట్టుబడులు నమోదు కాలేదు,,B,1,no_investments_recorded_yet
1243,No investor deposits this day.,,ఈ రోజు పెట్టుబడిదారు జమలు లేవు.,,B,1,no_investor_deposits_this_day
1244,No investor withdrawals this day.,,ఈ రోజు పెట్టుబడిదారు ఉపసంహరణలు లేవు.,,B,1,no_investor_withdrawals_this_day
1245,No investors match this view.,,ఈ వీక్షణకు సరిపోలే పెట్టుబడిదారులు లేరు.,,B,1,no_investors_match_view
1246,No loans distributed this day.,,ఈ రోజు రుణాలు పంపిణీ చేయబడలేదు.,,B,1,no_loans_distributed_this_day
1247,No Match Found — Create New Identity,,సరిపోలిక కనుగొనబడలేదు — కొత్త గుర్తింపును సృష్టించండి,,B,1,no_match_create_new_identity
1248,No matching customer found.,,సరిపోలే కస్టమర్ కనుగొనబడలేదు.,,B,1,no_matching_customer
1249,No Operating Areas added yet.,,ఇంకా పని ప్రాంతాలు జోడించలేదు.,,B,1,no_operating_areas_added
1250,No Operating Areas currently assigned.,,ప్రస్తుతం పని ప్రాంతాలు కేటాయించలేదు.,,B,1,no_operating_areas_assigned
1251,No operating areas yet,,ఇంకా పని ప్రాంతాలు లేవు,,B,1,no_operating_areas_yet_headline
1252,No Operating Areas yet.,,ఇంకా పని ప్రాంతాలు లేవు.,,B,1,no_operating_areas_yet
1253,No other active agent to transfer to.,,బదిలీ చేయడానికి మరో యాక్టివ్ ఏజెంట్ లేరు.,,B,1,no_other_active_agent_note
1254,No pending loan requests.,,పెండింగ్ రుణ అభ్యర్థనలు లేవు.,,B,1,no_pending_loan_requests
1255,No pending withdrawal requests.,,పెండింగ్ ఉపసంహరణ అభ్యర్థనలు లేవు.,,B,1,no_pending_withdrawal_requests
1256,No profit share declarations yet.,,ఇంకా లాభ వాటా ప్రకటనలు లేవు.,,B,1,no_profit_share_declarations_yet
1257,No transactions in this period.,,ఈ కాలంలో లావాదేవీలు లేవు.,,B,1,statement_has_no_transactions
1258,No Transactions Match These Filters,,ఈ ఫిల్టర్లకు సరిపోయే లావాదేవీలు లేవు,,B,1,no_transactions_match_filters
1259,No transactions recorded yet.,,ఇంకా లావాదేవీలు నమోదు కాలేదు.,,B,1,no_transactions_recorded_yet
1260,No transfers — {title}.,,బదిలీలు లేవు — {title}.,,B,1,no_transfers_note
1261,No village on file,,గ్రామం నమోదు కాలేదు,,B,1,no_village_on_file
1262,No villages found by that name.,,ఆ పేరుతో గ్రామాలు కనిపించలేదు.,,B,1,no_villages_found_for_search
1263,No villages found for that PIN.,,ఆ పిన్ కోడ్‌కు గ్రామాలు కనుగొనబడలేదు.,,B,1,no_villages_found_for_pin
1264,No withdrawals recorded yet.,,ఇంకా ఉపసంహరణలు నమోదు కాలేదు.,,B,1,no_withdrawals_recorded_yet
1265,Nobody in this business holds this role yet.,,ఈ వ్యాపారంలో ఇంకా ఎవరూ ఈ పాత్రలో లేరు.,,B,1,nobody_in_this_stage_yet
1266,Not a member of this business.,,ఈ వ్యాపారంలో సభ్యుడు కాదు.,,B,1,not_a_member_of_business
1267,Not Available for This Business,,ఈ వ్యాపారానికి అందుబాటులో లేదు,,B,1,not_available_for_business
1268,Not in any operating area,,ఏ ఆపరేటింగ్ ప్రాంతంలోనూ లేదు,,B,1,not_in_any_operating_area
1269,Not on this book yet.,,ఇంకా ఈ పుస్తకంలో లేరు.,,B,1,not_on_this_book_yet
1270,Nothing else to report.,,నివేదించడానికి మరేమీ లేదు.,,B,1,nothing_else_to_report
1271,Nothing entered for this village yet.,,ఈ గ్రామానికి ఇంకా ఏమీ నమోదు కాలేదు.,,B,1,nothing_entered_for_this_village_yet
1272,Nothing has been deleted.,,ఏదీ తొలగించబడలేదు.,,B,1,nothing_has_been_deleted
1273,Nothing is waiting on you.,,మీ కోసం ఏమీ వేచి లేదు.,,B,1,nothing_waiting_note
1274,Nothing needs attention right now.,,ప్రస్తుతం దేనికీ శ్రద్ధ అవసరం లేదు.,,B,1,nothing_needs_attention
1275,Nothing recorded this day yet.,,ఈ రోజు ఇంకా ఏమీ నమోదు కాలేదు.,,B,1,nothing_recorded_this_day_yet
1276,On file — tap to add another,,ఫైల్‌లో ఉంది — మరొకటి జోడించడానికి నొక్కండి,,B,1,on_file_tap_add_another
1277,Open target not available in this build yet.,,ఈ బిల్డ్‌లో ఓపెన్ టార్గెట్ ఇంకా అందుబాటులో లేదు.,,B,1,open_target_not_available
1278,Opening BF for This Session,,ఈ సెషన్ కోసం ప్రారంభ BF,,B,1,opening_bf_for_session
1279,"Optional, but needed for SMS/OTP",,"ఐచ్ఛికం, కానీ SMS/OTP కోసం అవసరం",,B,1,optional_needed_for_sms
1280,OTP Verification · Terms Acceptance,,OTP ధృవీకరణ · నిబంధనల అంగీకారం,,B,1,otp_terms_acceptance
1281,Outstanding {outstanding} of {principal},,{principal}లో {outstanding} బాకీ,,B,1,outstanding_of_principal_note
1282,Owed back to investors,,పెట్టుబడిదారులకు తిరిగి చెల్లించవలసినది,,B,1,owed_back_to_investors
1283,Owner Cash In Hand,,యజమాని వద్ద నగదు,,B,1,owner_cash_in_hand
1284,Paid: {amount} on {date},,"చెల్లించినది: {amount}, {date}న",,B,1,paid_note
1285,Password updated — please log in,,పాస్‌వర్డ్ నవీకరించబడింది — దయచేసి లాగిన్ చేయండి,,B,1,password_updated_note
1286,Payment Could Not Be Confirmed,,చెల్లింపు నిర్ధారించలేకపోయింది,,B,1,payment_could_not_be_confirmed
1287,Penalty applied — customer notified.,,జరిమానా విధించబడింది — కస్టమర్‌కు తెలియజేయబడింది.,,B,1,penalty_applied_note
1288,Pending Instalments * — how many are left,,పెండింగ్ వాయిదాలు * — ఎన్ని మిగిలాయి,,B,1,pending_instalments_field
1289,Pending Interest Payment Requests,,పెండింగ్ వడ్డీ చెల్లింపు అభ్యర్థనలు,,B,1,pending_interest_payment_requests
1290,Phone Call Not Answered,,ఫోన్ కాల్‌కు స్పందించలేదు,,B,1,phone_call_not_answered
1291,Photo could not be loaded.,,ఫోటో లోడ్ కాలేదు.,,B,1,photo_unavailable
1292,Pre-existing member created — Profile Incomplete.,,ముందుగా ఉన్న సభ్యుడు సృష్టించబడ్డారు — ప్రొఫైల్ అసంపూర్ణం.,,B,1,pre_existing_member_created_note
1293,Previous request rejected: {reason},,మునుపటి అభ్యర్థన తిరస్కరించబడింది: {reason},,B,1,previous_request_rejected_note
1294,Proceed to Manual Verification,,మాన్యువల్ ధృవీకరణకు కొనసాగండి,,B,1,proceed_to_manual_verification
1295,Profit & Investor Payable,,లాభం & పెట్టుబడిదారుకు చెల్లించవలసినది,,B,1,profit_and_investor_payable
1296,"Profit Share % (optional, tentative)",,"లాభ వాటా % (ఐచ్ఛికం, తాత్కాలికం)",,B,1,profit_share_percent_optional
1297,Provisional until each pending account is Approved.,,ప్రతి పెండింగ్ ఖాతా ఆమోదించబడే వరకు తాత్కాలికం.,,B,1,provisional_until_approved_note
1298,"Read-only, set by Owner.",,"చదవడానికి మాత్రమే, యజమాని నిర్ణయించారు.",,B,1,read_only_set_by_owner
1299,Record availing — {name},,పొందడం నమోదు — {name},,B,1,record_availing_for_note
1300,Record payment — {name},,చెల్లింపు నమోదు — {name},,B,1,record_payment_for_note
1301,Record Short / Excess,,తక్కువ / అధికం నమోదు చేయండి,,B,1,record_short_excess
1302,Register & Send Invitation,,నమోదు చేసి ఆహ్వానం పంపండి,,B,1,register_and_send_invitation
1303,Registered Finance Name *,,నమోదిత ఫైనాన్స్ పేరు *,,B,1,registered_finance_name_field
1304,"Remarks (optional, freeform — BR-097)",,"వ్యాఖ్యలు (ఐచ్ఛికం, స్వేచ్ఛా వచనం)",,B,1,remarks_optional_freeform_note
1305,Reopened {at} — Reason: {reason},,{at} తిరిగి తెరవబడింది — కారణం: {reason},,B,1,reopened_reason_note
1306,repeats another row in this file,,ఈ ఫైల్‌లో మరో వరుసను పునరావృతం చేస్తుంది,,B,1,duplicate_in_file
1307,Request a New Loan,,కొత్త రుణం అభ్యర్థించండి,,B,1,request_a_new_loan
1308,Request sent as {roles}.,,{roles}గా అభ్యర్థన పంపబడింది.,,B,1,request_sent_as_roles_note
1309,Request sent to {mlid} as {type}.,,{mlid}కు {type}గా అభ్యర్థన పంపబడింది.,,B,1,request_sent_note
1310,Request sent to {name}.,,{name}కు అభ్యర్థన పంపబడింది.,,B,1,request_sent_to_note
1311,Request To Invest — {name},,పెట్టుబడి పెట్టడానికి అభ్యర్థన — {name},,B,1,request_to_invest_note
1312,Request to Join a Business,,"1) వ్యాపారంలో చేరడానికి అభ్యర్థించండి
2) వ్యాపారంలో చేరడానికి అభ్యర్థన",,B,2,request_join_business request_to_join_a_business
1313,Request To Join — {name},,చేరడానికి అభ్యర్థన — {name},,B,1,request_to_join_note
1314,Resubmission Not Available Yet,,మళ్లీ సమర్పణ ఇంకా అందుబాటులో లేదు,,B,1,resubmission_not_available
1315,Returned — Correction Required,,తిరిగి పంపబడింది — సవరణ అవసరం,,B,1,returned_correction_required
1316,ROI — ₹ per 100 per month,,ROI — నెలకు ప్రతి ₹100కి ₹,,B,1,roi_per_100_label
1317,Route / Area Assignment,,మార్గం / ప్రాంత కేటాయింపు,,B,1,route_area_assignment
1318,Route Complete — Return to Dashboard,,మార్గం పూర్తయింది — డాష్‌బోర్డ్‌కు తిరిగి వెళ్లండి,,B,1,route_complete_return_to_dashboard
1319,Save — Creates New History Entry,,సేవ్ చేయండి — కొత్త చరిత్ర ఎంట్రీని సృష్టిస్తుంది,,B,1,save_creates_new_history_entry
1320,Saved as {days} days,,{days} రోజులుగా సేవ్ చేయబడుతుంది,,B,1,grace_resolves_to_note
1321,Search by Business Name or MLBI,,వ్యాపార పేరు లేదా MLBI ద్వారా శోధించండి,,B,1,search_by_business_name_mlbi
1322,Search by MLID or Aadhaar Number,,MLID లేదా ఆధార్ నంబర్ ద్వారా శోధించండి,,B,1,search_by_mlid_aadhaar
1323,Search by name or MLID,,పేరు లేదా MLID ద్వారా శోధించండి,,B,1,search_by_name_or_mlid
1324,"Search by name, MLID, or phone",,"పేరు, MLID, లేదా ఫోన్ ద్వారా శోధించండి",,B,1,search_by_name_mlid_phone
1325,Search for a Business to request Customer membership.,,కస్టమర్ సభ్యత్వం అభ్యర్థించడానికి వ్యాపారాన్ని శోధించండి.,,B,1,search_business_customer_note
1326,Search for a Business to request Investor membership.,,పెట్టుబడిదారు సభ్యత్వం అభ్యర్థించడానికి వ్యాపారాన్ని శోధించండి.,,B,1,search_business_investor_note
1327,Select a Loan Template,,రుణ టెంప్లేట్‌ను ఎంచుకోండి,,B,1,select_a_loan_template
1328,Select at least one enabled area to start.,,ప్రారంభించడానికి కనీసం ఒక ప్రాంతాన్ని ఎంచుకోండి.,,B,1,select_at_least_one_area
1329,Select Collection Agent *,,వసూలు ఏజెంట్‌ను ఎంచుకోండి *,,B,1,select_collection_agent_field
1330,Set Up New Business,,కొత్త వ్యాపారాన్ని ఏర్పాటు చేయండి,,B,1,set_up_new_business
1331,Settlement submitted for Owner review.,,యజమాని సమీక్ష కోసం సెటిల్‌మెంట్ సమర్పించబడింది.,,B,1,settlement_submitted_note
1332,SP-001 — Aadhaar Dispute Case,,SP-001 — ఆధార్ వివాద కేసు,,B,1,aadhaar_dispute_case
1333,Split sum: {amount} (must equal collected amount),,విభజన మొత్తం: {amount} (వసూలైన మొత్తానికి సమానంగా ఉండాలి),,B,1,split_sum_note
1334,Start Pre-Existing Member Migration,,ముందుగా ఉన్న సభ్యుల మైగ్రేషన్ ప్రారంభించండి,,B,1,start_pre_existing_migration
1335,Step 1 — Case Intake,,దశ 1 — కేసు స్వీకరణ,,B,1,step_1_case_intake
1336,Step 3 — Suspend Original Account,,దశ 3 — అసలు ఖాతాను సస్పెండ్ చేయండి,,B,1,step_3_suspend_original
1337,Step 4 — Original Holder Re-Verification,,దశ 4 — అసలు ఖాతాదారు తిరిగి ధృవీకరణ,,B,1,step_4_reverification
1338,Step {current} of {total},,"1) {total}లో {current}వ దశ
2) {total}లో దశ {current}",,B,2,step_of_note step_x_of_y
1339,Still Needed to Register,,నమోదుకు ఇంకా అవసరం,,B,1,still_needed_to_register
1340,Support / Admin Internal Tool,,సపోర్ట్ / అడ్మిన్ అంతర్గత సాధనం,,B,1,support_admin_internal_tool
1341,Surname (House Name) *,,ఇంటి పేరు *,,B,1,surname_field
1342,That village already existed — selected it.,,ఆ గ్రామం ఇప్పటికే ఉంది — దాన్ని ఎంచుకున్నారు.,,B,1,village_already_existed_note
1343,There is no collection entry here to correct.,,ఇక్కడ సవరించడానికి వసూలు నమోదు ఏదీ లేదు.,,B,1,nothing_to_correct
1344,They must accept before this starts,,ఇది ప్రారంభం కావడానికి ముందు వారు అంగీకరించాలి,,B,1,role_must_accept_note
1345,To Agent ID *,,ఏజెంట్ ఐడికి *,,B,1,to_agent_id_field
1346,To Agent Name *,,ఏజెంట్ పేరుకు *,,B,1,to_agent_name_field
1347,Total Already Paid (₹),,ఇప్పటికే చెల్లించిన మొత్తం (₹),,B,1,total_already_paid_field
1348,Total Collected (Last 100),,మొత్తం వసూలు (చివరి 100),,B,1,total_collected_last_100
1349,total issued - remaining balance,,మొత్తం జారీ చేసినది - మిగిలిన నిల్వ,,B,1,already_paid_hint
1350,Unable to load settlement figures.,,సెటిల్‌మెంట్ సంఖ్యలు లోడ్ చేయలేకపోయాము.,,B,1,unable_to_load_settlement
1351,Use {digits}-digit PIN instead,,బదులుగా {digits}-అంకెల పిన్ ఉపయోగించండి,,B,1,use_other_pin_length
1352,Use {n}-digit PIN instead,,{n}-అంకెల పిన్ ఉపయోగించండి,,B,1,use_alt_pin_digit
1353,Villages shown are limited to this PIN,,చూపిన గ్రామాలు ఈ పిన్ కోడ్‌కు పరిమితం,,B,1,villages_limited_to_pin_helper
1354,Waiting for UPI app…,,UPI యాప్ కోసం వేచి ఉంది…,,B,1,waiting_for_upi_app
1355,Waiting for your response.,,మీ స్పందన కోసం వేచి ఉంది.,,B,1,waiting_for_your_response
1356,Waiting to Be Accepted,,అంగీకారం కోసం వేచి ఉంది,,B,1,waiting_to_be_accepted
1357,Waive / Reduce Penalty,,జరిమానా మాఫీ / తగ్గించండి,,B,1,waive_reduce_penalty
1358,Wants to join {business} as {role},,{business}లో {role}గా చేరాలనుకుంటున్నారు,,B,1,wants_to_join_as_note
1359,Wants to withdraw {amount},,{amount} ఉపసంహరించుకోవాలనుకుంటున్నారు,,B,1,wants_to_withdraw_note
1360,Which Kind of Loan?,,ఏ రకమైన రుణం?,,B,1,which_kind_of_loan
1361,Will be saved as:,,ఇలా సేవ్ అవుతుంది:,,B,1,will_be_saved_as
1362,Withdrawal request submitted — pending Owner approval.,,ఉపసంహరణ అభ్యర్థన సమర్పించబడింది — యజమాని ఆమోదం కోసం పెండింగ్.,,B,1,withdrawal_submitted_note
1363,Withdrawals Waiting On You,,మీ కోసం వేచి ఉన్న ఉపసంహరణలు,,B,1,withdrawals_waiting
1364,You have no loans in this Business yet.,,ఈ వ్యాపారంలో మీకు ఇంకా రుణాలు లేవు.,,B,1,no_loans_in_business_note
1365,Your business fits here.,,మీ వ్యాపారం ఇక్కడ సరిపోతుంది.,,B,1,your_business_fits_here
1366,Your MANA LINE ID,,మీ మానా లైన్ ఐడి,,B,1,your_mana_line_id
1367,{amount} posted to this loan.,,{amount} ఈ రుణానికి పోస్ట్ చేయబడింది.,,B,1,posted_to_loan_note
1368,{count} customer(s) left to visit.,,{count} కస్టమర్(లు) సందర్శించాల్సి ఉంది.,,B,1,customers_left_to_visit
1369,{count} of {total} selected,,{total}లో {count} ఎంచుకోబడ్డాయి,,B,1,n_of_m_selected
1370,{count} pre-existing loans entered,,{count} ముందుగా ఉన్న రుణాలు నమోదు చేయబడ్డాయి,,B,1,pre_existing_loans_entered_note
1371,{count} rows ready to import,,{count} వరుసలు దిగుమతికి సిద్ధం,,B,1,rows_ready_to_import
1372,{count} waiting for your answer,,మీ సమాధానం కోసం {count} వేచి ఉన్నాయి,,B,1,pending_invitations_count_note
1373,{date} · Approved by {by},,{date} · {by} ఆమోదించారు,,B,1,approved_by_note
1374,{date} · Closed by {name},,{date} · {name} మూసివేసారు,,B,1,closed_by_note
1375,{days} days — until {date}.,,{days} రోజులు — {date} వరకు.,,B,1,extension_resolves_to_note
1376,{id} · {roi} · {method} · since {date},,{id} · {roi} · {method} · {date} నుండి,,B,1,investment_meta_note
1377,"{interest} from unpaid interest, {principal} from principal.",,"చెల్లించని వడ్డీ నుండి {interest}, అసలు నుండి {principal}.",,B,1,withdrawal_split_note
1378,{name} added to this business.,,{name} ఈ వ్యాపారానికి జోడించబడ్డారు.,,B,1,member_added_note
1379,{percent}% of total profit for this period,,ఈ కాలానికి మొత్తం లాభంలో {percent}%,,B,1,percent_of_total_profit_note
1380,2. Find the Business,,2. వ్యాపారాన్ని కనుగొనండి,,C,1,step_2_find_the_business
